end_date,Close,High,Low,Open,Volume,ret_1d,ma_5,ma_20,ma_diff,vol_20,momentum
2022-03-10,0.13034552,0.075991675,0.07009876,0.09088169,0.07174222,0.16487919,0.08360811,0.13159485,0.24314159,0.2918448,0.2306881
2022-03-17,0.12677063,0.07251149,0.06851543,0.08692034,0.07277025,0.16920798,0.08211286,0.13084817,0.25013882,0.31348944,0.2506255
2022-03-25,0.12837206,0.072843835,0.066520885,0.087915264,0.07718773,0.17028813,0.08323767,0.13104932,0.24037239,0.32745424,0.25163224
2022-04-01,0.12954786,0.07235367,0.066789374,0.08837391,0.077986866,0.16085236,0.08376821,0.13173781,0.24303246,0.33290854,0.24493437
2022-04-08,0.1302958,0.07315011,0.06761826,0.08933697,0.07818022,0.15837045,0.085254595,0.13248976,0.2411406,0.3308573,0.23834068
2022-04-19,0.13184133,0.07656259,0.067405745,0.09357605,0.07664404,0.16162445,0.0889069,0.13157335,0.24326304,0.32686615,0.22896942
2022-04-26,0.1287339,0.0746112,0.06666615,0.09224005,0.08095041,0.16102487,0.087051444,0.13131276,0.25819048,0.3318477,0.22990116
2022-05-04,0.12811102,0.074876994,0.06679681,0.09416161,0.085676946,0.15978548,0.086954035,0.13202924,0.24721809,0.32643116,0.21653846
2022-05-11,0.13264512,0.07718538,0.06604603,0.09493085,0.093054615,0.16081096,0.088052325,0.12980779,0.2923771,0.32087564,0.21254247
2022-05-18,0.13637821,0.07840978,0.06498961,0.094282836,0.09743058,0.165798,0.088266276,0.1266964,0.32506812,0.32057604,0.21152778
2022-05-25,0.13485701,0.07748508,0.06368531,0.09364445,0.099347025,0.16808315,0.08804785,0.12700593,0.35222748,0.3343269,0.21772274
2022-06-01,0.12887199,0.07319906,0.063482866,0.09144947,0.098481305,0.1663618,0.08433408,0.13037516,0.31322086,0.3395967,0.2234457
2022-06-08,0.12711352,0.0714883,0.06412549,0.09172547,0.09330925,0.1666469,0.08180341,0.13226609,0.27798656,0.3373041,0.22254157
2022-06-15,0.13023104,0.073723786,0.06540434,0.0953069,0.09139204,0.17041782,0.081643544,0.13197298,0.27224347,0.3229054,0.20688932
2022-06-22,0.13337372,0.07529457,0.0645596,0.09714368,0.09129935,0.17891723,0.082397416,0.13004959,0.3171854,0.31955272,0.19777583
2022-06-29,0.13109009,0.073871516,0.06405582,0.09644083,0.0919689,0.18037587,0.0801763,0.13314041,0.34116375,0.32492158,0.20674197
2022-07-06,0.1321667,0.07135221,0.06211404,0.09719562,0.09497045,0.18531452,0.08097598,0.13149163,0.34092957,0.32289025,0.19742952
2022-07-13,0.12943992,0.068785004,0.061850462,0.09258369,0.09390349,0.18086912,0.07726002,0.13322952,0.3361139,0.31947887,0.19808434
2022-07-20,0.12917951,0.06746522,0.062226113,0.08998695,0.09139833,0.1808713,0.07607453,0.13303612,0.31800452,0.30051824,0.1993533
2022-07-27,0.12688716,0.06666674,0.06338081,0.085924365,0.08533377,0.17966667,0.07307421,0.13402666,0.28450218,0.29882094,0.20664725
2022-08-03,0.12074291,0.06489881,0.06541041,0.083191425,0.07913662,0.17567578,0.07144582,0.13672492,0.23259039,0.3051122,0.21717383
2022-08-11,0.11864323,0.06433027,0.06716193,0.08180655,0.071569726,0.17285877,0.070503995,0.13862377,0.19353129,0.30503985,0.22302072
2022-08-19,0.1195945,0.065705806,0.0678806,0.08040189,0.07079379,0.16951679,0.06963121,0.13899568,0.1690993,0.30741024,0.22863284
2022-08-26,0.12365706,0.06797515,0.068814084,0.084634155,0.06830248,0.17086631,0.07048449,0.13289325,0.17074864,0.29725394,0.21673757
2022-09-05,0.12287306,0.06765679,0.07030587,0.08537141,0.0686639,0.17351975,0.071601294,0.13216396,0.16425881,0.28186637,0.21122196
2022-09-12,0.119846344,0.066325836,0.07003988,0.08281909,0.06744407,0.16590519,0.07052576,0.13123684,0.16414036,0.2685025,0.21509926
2022-09-19,0.115948066,0.06490105,0.070213206,0.082418695,0.06475023,0.15832663,0.07025323,0.1339018,0.12205745,0.2564243,0.21869057
2022-09-26,0.117442764,0.069119014,0.07184068,0.0863437,0.06542294,0.16019948,0.07334941,0.13174832,0.09504295,0.23679861,0.20811768
2022-10-03,0.12013258,0.073727824,0.071215816,0.08821697,0.06588668,0.16342595,0.07369681,0.12975372,0.14140455,0.23915033,0.21419723
2022-10-11,0.121157005,0.07178736,0.070239685,0.089006156,0.068110175,0.16652226,0.07413033,0.12843698,0.16154084,0.25012878,0.21742216
2022-10-18,0.11937629,0.07090327,0.07144268,0.0900545,0.06610996,0.1634428,0.07285734,0.12993422,0.16115265,0.2674907,0.21977215
2022-10-25,0.12091818,0.07052185,0.070602186,0.09026919,0.065130346,0.16318037,0.07382639,0.13003522,0.16181134,0.26129928,0.2247699
2022-11-02,0.12133743,0.07037771,0.070003524,0.09059947,0.06464032,0.15923852,0.073513895,0.13068381,0.1667594,0.25994217,0.22054006
2022-11-10,0.1191804,0.06941878,0.06893729,0.09092184,0.06578167,0.15797949,0.07254602,0.12953505,0.16933703,0.25946113,0.21945742
2022-11-17,0.11976894,0.06894911,0.06874583,0.090316944,0.064133294,0.1590239,0.0735792,0.12959728,0.17028329,0.26104373,0.21325183
2022-11-24,0.11718025,0.06806547,0.06860121,0.08817918,0.06424131,0.15608905,0.07272403,0.1304765,0.16782548,0.2505246,0.21775721
2022-12-01,0.11732605,0.067962065,0.06898851,0.08690715,0.0628591,0.15185119,0.06908442,0.13141683,0.17023118,0.25076693,0.23295322
2022-12-08,0.12139755,0.06756767,0.067690544,0.08773709,0.06402626,0.1493609,0.07124833,0.13147108,0.17187166,0.2545992,0.21757928
2022-12-15,0.12129474,0.06712233,0.06991073,0.08838852,0.061724517,0.1497189,0.07024734,0.12764977,0.17050621,0.25192162,0.20599443
2022-12-22,0.121194415,0.065556996,0.07110768,0.08810535,0.060561586,0.1457226,0.068954684,0.12616323,0.17859803,0.24923326,0.20243697
2022-12-29,0.119807795,0.06275048,0.07322418,0.08674968,0.057184983,0.14339298,0.067233235,0.12764798,0.17473173,0.24172728,0.19778489
